"Number","Country","Detailed_Locations","Began","Ended","Duration_in_Days","Dead","Displaced","Damage_-USD","Type","Main_cause","Severity_index","flooded_area","Affected_sq_km","peak_discharge_Q","Peak_Water_level_h","Magnitude_-M**","Centroid_X","Centroid_Y","Notes_and_Comments","map_of_flood_extent"
"1","Albania","Northwestern Albania","2013-03-15T00:00:00.000Z","2013-04-12",29,0,"2800",0,"","Heavy Rain",1,"",3304,"","","4.9815523787",19.6182,42.0043,"April 11, 2013: ""OBOT, Albania (AP) -- Villagers in northwestern Albania are running out of patience after their homes have been surrounded by floodwaters for a month.They blame their ills on the operators of major hydropower dams that discharged vast quantities of water to keep levels manageable, and said Thursday the government has done little to ease their plight.""They get millions of euros selling the electricity produced by this water you see in my yard,"" farmer Hil Gjocaj said in Obot vill",""
"2","Albania","Northwest Albania, central Croatia, parts of Bosnia","2010-01-04T00:00:00.000Z","2010-01-13",10,0,"1500",0,"riverine flood","Heavy Rain",1.5,"10500 hectares",60173,"3.600 m3/sec","","5.9554963156",20.0828,41.4664,"January 11, 2010: Much of eastern Europe is experiencing some of its worst flooding in decades. In Albania, a combination of heavy snow followed by equally heavy rain has caused rivers to burst their banks.The authorities have been forced to discharge water from three hydro-electric power stations after danger levels were reached.Hardest-hit is Albania’s northwest where EU countries have sent boats, pumps and food to help out while 700 Albanian troops have been called up to organise an evacuatio","http://www.mapaction.org/map-catalogue/mapdetail/1967.html"
"3","Albania","Southern regions: Gjirokaster, Durres, Elbasan, Lezhe, Berat, Fier. Vlore, also the capital Tirana. Towns: Burrel, Rubik. Librazhd district","2005-11-30T00:00:00.000Z","2005-12-03",4,3,"0",0,"riverine flood","Heavy rain",1,"",10408,"","","4.6194285267",20.2064,40.4745,"Over 4,100 hectares of farmland flooded. Hundred houses damaged. 10,000 people isolated in the Librazhd district after floods destroyed a bridge.",""
"4","Albania","Shkodra district - Obot ","2004-12-04T00:00:00.000Z","2004-12-08",5,0,"0",173000,"riverine flood","Heavy rain",1,"",426,"","","3.3288360863",19.5485,42.04,"Heavy rain forces authorities to open gates of hydropower station - 400 houses and thousands of hectares submerged.\nMODIS observation of flooding around Lake Scutari near Shkodra on December 7, 8.",""
"5","Albania","Northern - Lezha and Shkoder regions. areas of Lac, Lezha, Shkodra and Kukes. \nSouthern - districts of Berat, Skrapar, Permet, Tepelena, Gjirokastra, Saranda and Korca. Osum River in Berat.\nTirana city flooded by drunk dam worker on Sep 27 ","2002-09-21T00:00:00.000Z","2002-10-08",18,1,"9700",17500000,"riverine flood","Heavy rain",1,"",11922,"","","5.3316259939",19.7738,41.3975,"""Tirana's deputy mayor resigned Tuesday after much of the Albanian capital was flooded when a drunken worker opened the gates of a nearby dam""CAUSE:Rain",""
"6","Albania","Northwest: Lezhe","1997-12-20T00:00:00.000Z","1997-12-23",4,0,"400",0,"coastal flood","Heavy rain",1,"",1640,"","","3.8170812283",19.7114,41.8429,"Flash floods.",""
"7","Albania","Northwest Albania: Lezha area","1996-11-19T00:00:00.000Z","1996-11-21",3,0,"50",0,"","Heavy Rain",1,"",1123,"","","3.5275164798",19.7026,41.7999,"Dozens of farmers lost homes and livestock. Railways flooded.",""
"8","Albania","Alaska: Anchorage, Kenai Peninsula, Matanuska-Susitna","1995-09-21T00:00:00.000Z","1995-09-24",4,4,"0",10000000,"flash flood","Heavy rain",1,"",17072,"","","4.8343451566",19.9654,41.6303,"Several hundred buildings flooded and residents evacuated.",""
"9","Albania","Provinces: Lezhe, Miredita, Laci","1995-08-19T00:00:00.000Z","1995-08-26",8,5,"0",0,"","Heavy rain",1,"",11109,"","","4.9487829366",19.9858,41.8101,"Farmland, power supplies, roads, bridges, and buildings destroyed.",""
"10","Albania","Kruja, Lac, Lezha, Shkdora, Tropja, Mirdita","1992-11-17T00:00:00.000Z","1992-11-19",3,7,"2000",7000000,"flash flood","Torrential rain",2,"",5619,"","up to 1 m inundation depth","4.5278458346",19.5629,42.0387,"",""
